<gain , {input\big4.txt : 1}{input\big3.txt : 2}>
<gained , {input\big4.txt : 3}{input\big5.txt : 1}>
<gale , {input\big4.txt : 1}{input\big5.txt : 1}>
<gales , {input\big4.txt : 1}>
<game , {input\big4.txt : 2}>
<gang , {input\big4.txt : 1}{input\big5.txt : 1}{input\big3.txt : 1}>
<gaol , {input\big4.txt : 1}{input\big5.txt : 2}>
<garden , {input\big4.txt : 4}{input\big5.txt : 3}{input\big2.txt : 1}{input\big1.txt : 2}{input\big3.txt : 2}>
<garment , {input\big4.txt : 1}>
<gathering , {input\big4.txt : 1}>
<gave , {input\big4.txt : 7}{input\big5.txt : 8}{input\big2.txt : 4}{input\big1.txt : 3}{input\big3.txt : 4}>
<generally , {input\big4.txt : 1}{input\big5.txt : 1}{input\big1.txt : 1}{input\big3.txt : 1}{input\big.txt : 1}>
<generation , {input\big4.txt : 1}>
<gentleman , {input\big4.txt : 2}{input\big5.txt : 4}{input\big1.txt : 6}{input\big3.txt : 10}>
<gentlemen , {input\big4.txt : 1}{input\big3.txt : 2}>
<gently , {input\big4.txt : 1}>
<george , {input\big4.txt : 1}>
<get , {input\big4.txt : 3}{input\big5.txt : 12}{input\big2.txt : 4}{input\big1.txt : 2}{input\big3.txt : 5}{input\big.txt : 1}>
<giant , {input\big4.txt : 1}>
<girl , {input\big4.txt : 4}{input\big2.txt : 2}{input\big1.txt : 2}{input\big3.txt : 3}>
<girt , {input\big4.txt : 1}>
<give , {input\big4.txt : 13}{input\big5.txt : 9}{input\big2.txt : 8}{input\big1.txt : 4}{input\big3.txt : 6}{input\big.txt : 1}>
<given , {input\big4.txt : 3}{input\big5.txt : 4}{input\big2.txt : 6}{input\big1.txt : 1}{input\big3.txt : 4}{input\big.txt : 1}>
<gives , {input\big4.txt : 1}{input\big5.txt : 1}{input\big3.txt : 1}>
<glad , {input\big4.txt : 3}{input\big5.txt : 3}{input\big2.txt : 2}{input\big1.txt : 1}{input\big3.txt : 3}>
<glade , {input\big4.txt : 1}>
<glance , {input\big4.txt : 2}{input\big5.txt : 2}{input\big1.txt : 1}{input\big3.txt : 2}>
<glanced , {input\big4.txt : 2}{input\big5.txt : 3}{input\big2.txt : 1}{input\big1.txt : 1}{input\big3.txt : 3}>
<glances , {input\big4.txt : 1}{input\big5.txt : 1}{input\big3.txt : 1}>
<glancing , {input\big4.txt : 3}{input\big5.txt : 3}{input\big1.txt : 1}{input\big3.txt : 1}>
<glare , {input\big4.txt : 1}>
<glared , {input\big4.txt : 1}>
<glass , {input\big4.txt : 2}{input\big5.txt : 1}{input\big1.txt : 3}{input\big3.txt : 3}>
<gleaming , {input\big4.txt : 1}>
<glisten , {input\big4.txt : 1}>
<glitter , {input\big4.txt : 1}>
<go , {input\big4.txt : 12}{input\big5.txt : 8}{input\big2.txt : 17}{input\big1.txt : 4}{input\big3.txt : 7}{input\big.txt : 1}>
<goading , {input\big4.txt : 1}>
<god , {input\big4.txt : 7}{input\big5.txt : 7}{input\big2.txt : 2}{input\big1.txt : 1}{input\big3.txt : 1}>
<goes , {input\big4.txt : 2}{input\big5.txt : 1}{input\big1.txt : 1}{input\big3.txt : 1}>
<going , {input\big4.txt : 4}{input\big5.txt : 2}{input\big2.txt : 2}{input\big3.txt : 2}>
<gold , {input\big4.txt : 3}{input\big5.txt : 1}{input\big1.txt : 2}{input\big3.txt : 2}>
<golden , {input\big4.txt : 1}{input\big3.txt : 1}>
<gone , {input\big4.txt : 6}{input\big5.txt : 8}{input\big2.txt : 3}{input\big3.txt : 2}>
<good , {input\big4.txt : 6}{input\big5.txt : 19}{input\big2.txt : 1}{input\big1.txt : 10}{input\big3.txt : 26}{input\big.txt : 2}>
<got , {input\big4.txt : 6}{input\big5.txt : 6}{input\big2.txt : 1}{input\big3.txt : 5}>
<grace , {input\big4.txt : 1}{input\big5.txt : 1}{input\big3.txt : 1}>
<grandfather , {input\big4.txt : 1}>
<granting , {input\big4.txt : 1}>
<grasped , {input\big4.txt : 1}>
<grass , {input\big4.txt : 4}>
<grate , {input\big4.txt : 1}{input\big5.txt : 1}>
<gravely , {input\big4.txt : 1}{input\big3.txt : 1}>
<great , {input\big4.txt : 8}{input\big5.txt : 7}{input\big1.txt : 4}{input\big3.txt : 8}{input\big.txt : 2}>
<greater , {input\big4.txt : 1}>
<greatest , {input\big4.txt : 1}{input\big3.txt : 1}>
<green , {input\big4.txt : 1}{input\big5.txt : 1}>
<grew , {input\big4.txt : 5}{input\big5.txt : 3}>
<grey , {input\big4.txt : 7}{input\big5.txt : 3}{input\big3.txt : 1}{input\big.txt : 1}>
<grice , {input\big4.txt : 1}>
<grinning , {input\big4.txt : 1}>
<grip , {input\big4.txt : 3}>
<gripping , {input\big4.txt : 1}>
<grizzled , {input\big4.txt : 1}{input\big5.txt : 3}>
<groom , {input\big4.txt : 1}{input\big1.txt : 2}{input\big3.txt : 2}>
<groomed , {input\big4.txt : 1}>
<groping , {input\big4.txt : 1}{input\big5.txt : 1}>
<ground , {input\big4.txt : 8}{input\big5.txt : 4}{input\big1.txt : 2}{input\big3.txt : 2}{input\big.txt : 1}>
<growing , {input\big4.txt : 1}>
<grown , {input\big4.txt : 1}{input\big5.txt : 1}{input\big3.txt : 1}>
<gum , {input\big4.txt : 1}>
<gun , {input\big4.txt : 3}>
<gallows , {input\big5.txt : 1}>
<gambler , {input\big5.txt : 1}>
<games , {input\big5.txt : 1}>
<gas , {input\big5.txt : 5}>
<gaslight , {input\big5.txt : 1}>
<gasped , {input\big5.txt : 1}>
<gather , {input\big5.txt : 3}>
<gathered , {input\big5.txt : 1}>
<gazed , {input\big5.txt : 1}{input\big2.txt : 1}{input\big3.txt : 1}>
<geese , {input\big5.txt : 17}>
<gem , {input\big5.txt : 2}>
<general , {input\big5.txt : 1}{input\big2.txt : 3}{input\big1.txt : 1}{input\big3.txt : 2}{input\big.txt : 4}>
<geniality , {input\big5.txt : 1}>
<ghastly , {input\big5.txt : 1}>
<gipsies , {input\big5.txt : 2}>
<giving , {input\big5.txt : 1}{input\big2.txt : 2}{input\big.txt : 3}>
